product_id,category,price
143,home,13152.69
144,clothing,21135.77
145,sports,5753.8
146,beauty,9446.45
147,clothing,8701.96
148,electronics,129106.55
149,accessories,10316.11
150,clothing,19806.15
151,beauty,10165.09
152,home,7223.67
153,beauty,1050.14
154,home,36463.8
155,sports,27789.39
156,beauty,8339.09
157,electronics,103545.76
158,clothing,2196.76
159,sports,30772.13
160,clothing,13826.53
161,home,49810.77
162,beauty,6647.03
163,beauty,7638.19
164,electronics,100669.41
165,beauty,1732.53
166,accessories,15176.99
167,sports,26417.09
168,clothing,9504.82
169,accessories,2636.13
170,books,2620.79
171,accessories,15094.37
172,sports,36415.92
173,books,3095.58
174,books,2937.34
175,electronics,81468.72
176,accessories,15291.17
177,beauty,6007.88
178,electronics,122025.22
179,electronics,113736.5
180,home,22619.63
181,beauty,11869.76
182,beauty,5001.59
183,accessories,5734.14
184,books,2970.14
185,beauty,12990.29
186,accessories,5082.83
187,home,43342.31
188,books,631.77
189,clothing,9592.2
190,home,27317.1
191,electronics,36768.02
192,sports,33176.4
193,sports,33028.41
194,books,1522.19
195,sports,17742.05
196,books,1179.56
197,books,1108.19
198,clothing,7794.51
199,electronics,130009.3
200,beauty,7837.57
201,beauty,13102.72
202,accessories,2128.85
203,clothing,13023.16
204,beauty,3831.25
205,clothing,14938.64
206,sports,23007.56
207,sports,30716.03
208,books,3468.77
209,home,38411.37
210,clothing,12877.08
211,home,31008.7
212,electronics,105203.42
213,accessories,14323.4
214,sports,20873.19
215,home,30903.15
216,home,43283.26
217,books,3789.89
218,electronics,94208.34
219,books,2535.54
220,books,2583.92
221,beauty,14298.27
222,home,8006.41
223,beauty,11303.07
224,beauty,14553.13
225,books,3052.25
226,books,1460.34
227,accessories,1864.51
228,accessories,9440.11
229,sports,30697.88
230,books,3807.27
231,clothing,2920.42
232,books,3213.9
233,books,4628.25
234,electronics,69647.59
235,home,42017.2
236,accessories,19589.44
237,clothing,23121.27
238,clothing,20295.06
239,clothing,1734.95
240,sports,29634.73
241,clothing,11168.82
242,accessories,9285.39
243,home,2252.58
244,books,3774.78
245,sports,15399.15
246,clothing,4485.92
247,accessories,9897.75
248,clothing,9420.12
249,beauty,2728.95
250,home,20800.98
251,clothing,8328.29
252,accessories,5818.59
253,accessories,9261.77
254,accessories,16059.76
255,books,3001.4
256,books,547.58
257,beauty,2435.84
258,clothing,4584.18
259,beauty,9549.49
260,beauty,13781.16
261,clothing,19158.19
262,sports,37057.19
263,home,38988.81
264,beauty,4577.56
265,beauty,7512.87
266,clothing,8000.62
267,sports,20054.79
268,beauty,7387.83
269,electronics,115514.93
270,beauty,514.56
271,sports,35581.83
272,accessories,11789.2
273,beauty,8130.43
274,sports,21627.09
275,accessories,3307.48
276,books,4843.01
277,electronics,134439.28
278,clothing,12926.7
279,beauty,11780.7
280,clothing,16802.32
281,beauty,8575.04
282,books,1113.3
283,sports,38631.44
284,accessories,10670.32
285,electronics,115911.82
286,books,3189.98
287,clothing,5328.56
288,accessories,11259.13
289,electronics,116522.54
290,accessories,4390.34
291,books,1193.57
292,clothing,9786.76
293,beauty,3662.24
294,home,34584.69
295,home,13255.4
296,electronics,108127.41
297,clothing,17729.74
298,beauty,12693.22
299,home,9185.44
300,clothing,11130.88
301,electronics,44256.21
302,sports,38776.55
303,books,1454.24
304,electronics,149568.6
305,beauty,2454.31
306,clothing,4449.97
307,sports,22758.27
308,clothing,10693.04
309,books,2510.1
310,accessories,1082.78
311,electronics,90815.28
312,home,24505.73
313,accessories,11749.91
314,clothing,6987.52
315,sports,33862.07
316,accessories,5050.1
317,books,2354.88
318,clothing,19551.59
319,home,29688.49
320,home,33560.76
321,electronics,133685.08
322,clothing,5485.52
323,sports,21377.29
324,home,28001.07
325,beauty,13982.87
326,electronics,81782.53
327,accessories,8222.53
328,sports,7767.1
329,sports,11214.8
330,books,3233.01
331,sports,10724.43
332,books,502.68
333,books,4180.46
334,books,4204.59
335,beauty,6200.21
336,accessories,11769.86
337,electronics,138096.58
338,electronics,88128.75
339,books,464.88
340,electronics,86475.35
341,beauty,4466.97
342,clothing,11288.79
343,electronics,71441.06
344,sports,21107.94
345,sports,24246.2
346,beauty,14000.92
347,sports,26954.74
348,clothing,11453.57
349,beauty,12041.93
350,books,4462.47
351,books,2039.17
352,home,29524.41
353,beauty,14609.61
354,accessories,13893.05
355,sports,4384.45
356,books,3337.9
357,electronics,136130.58
358,beauty,8037.68
359,clothing,7693.07
360,clothing,10778.02
361,accessories,13985.68
362,books,539.2
363,home,38026.37
364,books,4874.98
365,sports,13691.92
366,beauty,9798.21
367,home,5745.57
368,electronics,49977.44
369,clothing,14392.59
370,home,18904.41
371,clothing,23547.53
372,books,1314.03
373,books,4993.75
374,beauty,10459.29
375,books,2797.37
376,accessories,14562.53
377,beauty,6504.51
378,clothing,15995.17
379,home,29755.14
380,clothing,19492.66
381,beauty,9476.92
382,home,17566.23
383,electronics,110906.1
384,clothing,4013.53
385,books,347.25
386,sports,30141.47
387,home,28854.36
388,home,37608.5
389,books,3219.85
390,books,3926.05
391,sports,7481.06
392,sports,3931.31
393,accessories,13053.76
394,home,20682.69
395,sports,30745.93
396,electronics,110532.21
397,sports,38138.57
398,accessories,9488.31
399,accessories,17727.09
400,clothing,24109.01
401,accessories,11690.67
402,home,19649.25
403,sports,25390.62
404,beauty,13845.68
405,clothing,20089.63
406,clothing,24419.24
407,beauty,1432.1
408,clothing,8934.48
409,accessories,6296.47
410,electronics,90198.25
411,clothing,2755.99
412,books,2747.39
413,home,24752.33
414,clothing,20297.26
415,clothing,4695.16
416,home,36650.72
417,electronics,32512.83
418,accessories,16621.38
419,sports,24719.61
420,books,3770.66
421,books,3913.39
422,sports,8047.95
423,sports,19615.97
424,electronics,14170.15
425,sports,14314.74
426,clothing,24723.16
427,books,4312.66
428,electronics,147572.66
429,accessories,2789.86
430,clothing,24645.4
431,clothing,6259.3
432,home,16557.1
433,accessories,10765.07
434,electronics,94224.67
435,clothing,4498.66
436,accessories,18344.93
437,beauty,1479.71
438,clothing,5413.4
439,home,35173.02
440,accessories,3107.23
441,books,1146.71
442,home,27027.64
443,home,19089.94
444,electronics,148248.16
445,clothing,1748.17
446,electronics,136780.08
447,sports,1488.36
448,sports,18494.26
449,books,651.83
450,beauty,7501.43
451,beauty,6674.43
452,clothing,17758.26
453,books,3275.21
454,books,3744.31
455,books,3164.97
456,home,19874.65
457,home,32494.5
458,electronics,50236.06
459,books,2696.03
460,electronics,41328.67
461,clothing,5690.14
462,clothing,22303.0
463,clothing,6385.22
464,home,28260.63
465,accessories,17429.18
466,sports,31559.05
467,electronics,82011.77
468,electronics,141578.31
469,clothing,8458.92
470,beauty,1252.58
471,home,29952.23
472,electronics,47216.19
473,books,1074.49
474,clothing,15410.11
475,clothing,11694.47
476,clothing,2319.27
477,sports,37353.59
478,home,37666.35
479,accessories,17062.05
480,electronics,35487.49
481,clothing,3800.46
482,clothing,24845.6
483,home,43632.67
484,electronics,92913.94
485,home,26241.01
486,home,5773.24
487,accessories,17124.6
488,electronics,32780.58
489,electronics,8331.51
490,accessories,12740.04
491,books,912.64
492,home,8731.65
493,accessories,17276.96
494,books,495.37
495,beauty,13165.95
496,home,31539.91
497,sports,4676.48
498,accessories,13866.8
499,beauty,3999.82
500,electronics,101175.55
